Date,Open,High,Low,Close,Volume,Month,Day,Year,Daily_Return,7-day MA,30-day MA,30-day Volatility
2015-01-01,320.43499755859375,320.43499755859375,314.00299072265625,314.2489929199219,8036550,1,1,2015,,,,
2015-01-02,314.0790100097656,315.8389892578125,313.56500244140625,315.0320129394531,7860650,1,2,2015,0.0024917184690256278,,,
2015-01-03,314.84600830078125,315.1499938964844,281.0820007324219,281.0820007324219,33054400,1,3,2015,-0.10776686435849991,,,
2015-01-04,281.14599609375,287.2300109863281,257.61199951171875,264.19500732421875,55629100,1,4,2015,-0.0600785299812876,,,
2015-01-05,265.0840148925781,278.34100341796875,265.0840148925781,274.4739990234375,43962800,1,5,2015,0.03890683553533014,,,
2015-01-06,274.6109924316406,287.5530090332031,272.6960144042969,286.1889953613281,23245700,1,6,2015,0.04268162514326268,,,
2015-01-07,286.0769958496094,298.7539978027344,283.0790100097656,294.3370056152344,24866800,1,7,2015,0.028470732229305185,289.9368591308594,,
2015-01-08,294.135009765625,294.135009765625,282.17498779296875,283.3489990234375,19982500,1,8,2015,-0.03733137995621494,285.5225742885045,,
2015-01-09,282.38299560546875,291.114013671875,280.5329895019531,290.4079895019531,18718600,1,9,2015,0.024912706601556422,282.0048566545759,,
2015-01-10,287.3030090332031,288.12701416015625,273.96600341796875,274.7959899902344,15264300,1,10,2015,-0.05375884988044988,281.1068551199777,,
2015-01-11,274.6080017089844,279.63800048828125,265.03900146484375,265.6600036621094,18200800,1,11,2015,-0.03324643248414827,281.3161403111049,,
2015-01-12,266.14599609375,272.2030029296875,265.20001220703125,267.7959899902344,18880300,1,12,2015,0.00804030075540374,280.3621390206473,,
2015-01-13,267.3940124511719,268.2770080566406,219.906005859375,225.86099243164062,72843904,1,13,2015,-0.1565930750498653,271.7438528878348,,
2015-01-14,223.8939971923828,223.8939971923828,171.50999450683594,178.10299682617188,97638704,1,14,2015,-0.21144862196566871,255.13899448939733,,
2015-01-15,176.89700317382812,229.06700134277344,176.89700317382812,209.843994140625,81773504,1,15,2015,0.17821708719158869,244.6382795061384,,
2015-01-16,209.07000732421875,221.59100341796875,199.77099609375,208.0970001220703,38421000,1,16,2015,-0.00832520380537527,232.8795667375837,,
2015-01-17,207.83399963378906,211.7310028076172,194.875,199.25999450683594,23469700,1,17,2015,-0.04246580013191237,222.08871023995536,,
2015-01-18,200.0500030517578,218.69500732421875,194.50599670410156,210.33900451660156,30085100,1,18,2015,0.05560077444138223,214.18571036202567,,
2015-01-19,211.4709930419922,216.72799682617188,207.3179931640625,214.86099243164062,18658300,1,19,2015,0.021498570488300173,206.62356785365515,,
2015-01-20,212.90699768066406,215.24099731445312,205.1529998779297,211.31500244140625,24051100,1,20,2015,-0.016503647079460282,204.54556928362166,,
2015-01-21,211.3780059814453,227.78799438476562,211.21200561523438,226.89700317382812,29924600,1,21,2015,0.0737382606648691,211.5161416190011,,
2015-01-22,227.32200622558594,237.0189971923828,226.4340057373047,233.406005859375,33544600,1,22,2015,0.028687036825075563,214.88214329310827,,
2015-01-23,233.51699829101562,234.84500122070312,225.1959991455078,232.87899780273438,24621700,1,23,2015,-0.0022579027249116645,218.42242867606026,,
2015-01-24,232.6999969482422,248.2100067138672,230.02200317382812,247.8470001220703,24782500,1,24,2015,0.06427373211222309,225.3634294782366,,
2015-01-25,247.3520050048828,255.07400512695312,243.88999938964844,253.71800231933594,33582700,1,25,2015,0.02368800991891784,231.5604291643415,,
2015-01-26,254.07899475097656,309.3840026855469,254.07899475097656,273.4729919433594,106794000,1,26,2015,0.07786199419605744,239.9335719517299,,
2015-01-27,273.1669921875,275.4800109863281,250.6529998779297,263.4750061035156,44399000,1,27,2015,-0.03655931713327831,247.38500104631697,,
2015-01-28,263.35101318359375,266.5350036621094,227.04600524902344,233.9149932861328,44352200,1,28,2015,-0.11219285371519871,248.38757106236048,,
2015-01-29,233.34800720214844,238.70599365234375,220.71200561523438,233.51300048828125,32213400,1,29,2015,-0.001718542245643162,248.4028560093471,,
2015-01-30,232.77200317382812,242.8509979248047,225.83900451660156,226.4250030517578,26605200,1,30,2015,-0.03035375941254781,247.4808567592076,249.82649892171224,
2015-01-31,226.4409942626953,233.50399780273438,216.3090057373047,217.46400451660156,23348200,1,31,2015,-0.03957601154633916,243.1404288155692,246.60033264160157,0.07495791458496522
2015-02-01,216.86700439453125,231.57400512695312,212.01499938964844,226.9720001220703,29128500,2,1,2015,0.043722158187070814,239.31957135881697,243.66499888102214,0.07555847520689496
2015-02-02,226.49099731445312,242.1750030517578,222.65899658203125,238.22900390625,30612100,2,2,2015,0.04959644263664864,234.2847159249442,242.23656565348307,0.07383593275375694
2015-02-03,237.45399475097656,245.95700073242188,224.48300170898438,227.26800537109375,40783700,2,3,2015,-0.046010344481269505,229.11228724888392,241.00566558837892,0.07350320582762725
